IDENTIFIER,GRAMMAR_PATTERN,CONTEXT
action to index map,N P NM N,ATTRIBUTE
action view show master pages,NM N V NM NPL,ATTRIBUTE
active copies,NM NPL,ATTRIBUTE
actual count,NM N,ATTRIBUTE
add bias to embedding,V N P N,ATTRIBUTE
added unicode smp,NM NM N,ATTRIBUTE
address type ipv4,NM NM N,ATTRIBUTE
all stubbings,DT NPL,ATTRIBUTE
alt label ctxs,NM NM NPL,ATTRIBUTE
ambient,N,ATTRIBUTE
atom,N,ATTRIBUTE
attribute decls,NM NPL,ATTRIBUTE
average in bucket used slot count,N P NM NM NM N,ATTRIBUTE
b is playing,PRE V V,ATTRIBUTE
b loop,PRE N,ATTRIBUTE
bean configs,NM NPL,ATTRIBUTE
befores,NPL,ATTRIBUTE
bitmap data size,NM NM N,ATTRIBUTE
bm log,NM N,ATTRIBUTE
bounding radius,NM N,ATTRIBUTE
breakpoint,N,ATTRIBUTE
buckets path field,NM NM N,ATTRIBUTE
buffers,NPL,ATTRIBUTE
logger,N,ATTRIBUTE
build timestamp,NM N,ATTRIBUTE
bytes received,NPL NM,ATTRIBUTE
caching mock bytecode generator,NM NM NM N,ATTRIBUTE
calibration phase,NM N,ATTRIBUTE
canvas item,NM N,ATTRIBUTE
cat risk,NM N,ATTRIBUTE
certificate chain cleaner,NM NM N,ATTRIBUTE
char strings,NM NPL,ATTRIBUTE
chosen overrides,NM NPL,ATTRIBUTE
client,N,ATTRIBUTE
client number,NM N,ATTRIBUTE
codes,NPL,ATTRIBUTE
color conversion system,NM NM N,ATTRIBUTE
colored count,NM N,ATTRIBUTE
completion handler i unary response client callback,NM N NM NM NM NM N,ATTRIBUTE
component type,NM N,ATTRIBUTE
context length,NM N,ATTRIBUTE
cookie jar,NM N,ATTRIBUTE
core,N,ATTRIBUTE
creds,NPL,ATTRIBUTE
crop node,NM N,ATTRIBUTE
current filename,NM N,ATTRIBUTE
current scene node,NM NM N,ATTRIBUTE
debug policy,NM N,ATTRIBUTE
default answer,NM N,ATTRIBUTE
default factory,NM N,ATTRIBUTE
default flags,NM NPL,ATTRIBUTE
default instance void,NM NM N,ATTRIBUTE
delay agnostic enabled,NM N V,ATTRIBUTE
depth cb,NM N,ATTRIBUTE
depth stencil as texture,NM N P N,ATTRIBUTE
detect leaks,V NPL,ATTRIBUTE
development,N,ATTRIBUTE
dynamic table byte count,NM NM NM N,ATTRIBUTE
edit count,NM N,ATTRIBUTE
eglew android frame buffer target,PRE PRE NM NM N,ATTRIBUTE
eglew create platform window surface,PRE V NM NM N,ATTRIBUTE
eglew khr stream fifo,PRE PRE NM N,ATTRIBUTE
embedded version,NM N,ATTRIBUTE
empty directory,NM N,ATTRIBUTE
enabled subdevices,NM NPL,ATTRIBUTE
encoded path segments,NM NM NPL,ATTRIBUTE
exception channels,NM NPL,ATTRIBUTE
extract events,V NPL,ATTRIBUTE
f context length,PRE NM N,ATTRIBUTE
f matcher,PRE N,ATTRIBUTE
feed adapter,NM N,ATTRIBUTE
file,N,ATTRIBUTE
file descriptor proto,NM NM N,ATTRIBUTE
filtered children,NM NPL,ATTRIBUTE
fingerprint dialog,NM N,ATTRIBUTE
flag,N,ATTRIBUTE
float day counter,NM NM N,ATTRIBUTE
footnotes position,NM N,ATTRIBUTE
free cell,NM N,ATTRIBUTE
gen subj,NM N,ATTRIBUTE
get source name,NM NM N,ATTRIBUTE
glew index mask,PRE NM N,ATTRIBUTE
glew render mode,PRE NM N,ATTRIBUTE
glew validate program pipeline,PRE V NM N,ATTRIBUTE
group boxes,NM NPL,ATTRIBUTE
h wnd,N NM,ATTRIBUTE
handled boxes,NM NPL,ATTRIBUTE
height int,NM N,ATTRIBUTE
history action,NM N,ATTRIBUTE
id lumninance min,NM NM N,ATTRIBUTE
idle delay,NM N,ATTRIBUTE
im out shape,NM NM N,ATTRIBUTE
img buffer original,NM N NM,ATTRIBUTE
in order wrapped verification mode,P N NM NM N,ATTRIBUTE
index data,NM NPL,ATTRIBUTE
index prefix with template,NM N P N,ATTRIBUTE
index to loc format,N P NM N,ATTRIBUTE
inet socket address,NM NM N,ATTRIBUTE
initialization error,NM N,ATTRIBUTE
inner alpha,NM N,ATTRIBUTE
invalid,NM,ATTRIBUTE
invalid host,NM N,ATTRIBUTE
invalid state number,NM NM N,ATTRIBUTE
invert success,V N,ATTRIBUTE
is bridged argument,V NM N,ATTRIBUTE
is first capital,V NM N,ATTRIBUTE
is first frame,V NM N,ATTRIBUTE
is indirect result,V NM N,ATTRIBUTE
is partial,V N,ATTRIBUTE
is return bridged,V N NM,ATTRIBUTE
keep aspect,V N,ATTRIBUTE
key password profiles,NM NM NPL,ATTRIBUTE
key sym,NM N,ATTRIBUTE
label regex,NM N,ATTRIBUTE
language to rules files,N P NM NPL,ATTRIBUTE
last saved step,NM NM N,ATTRIBUTE
latency arg,NM N,ATTRIBUTE
layer mask source node,NM NM NM N,ATTRIBUTE
link name,NM N,ATTRIBUTE
locations,NPL,ATTRIBUTE
m annotation,PRE N,ATTRIBUTE
m contact motion 1,PRE NM N D,ATTRIBUTE
m count activities,PRE NM NPL,ATTRIBUTE
m execute on host,PRE V P N,ATTRIBUTE
m fbo height,PRE NM N,ATTRIBUTE
m first render queue,PRE NM NM N,ATTRIBUTE
m gpu rays,PRE NM NPL,ATTRIBUTE
m is indx present,PRE V NM N,ATTRIBUTE
m is worker done,PRE V N NM,ATTRIBUTE
m last changed location,PRE NM NM N,ATTRIBUTE
m line dash offset,PRE NM NM N,ATTRIBUTE
m num visual shapes copied,PRE NM NM NM N,ATTRIBUTE
m paste mode,PRE NM N,ATTRIBUTE
m post fix,PRE NM N,ATTRIBUTE
m preview started,PRE N NM,ATTRIBUTE
m reference,PRE N,ATTRIBUTE
m remove user data response args,PRE NM NM NM NM NPL,ATTRIBUTE
m resources,PRE NPL,ATTRIBUTE
m sbuf,PRE N,ATTRIBUTE
m shadow receiver pass,PRE NM NM N,ATTRIBUTE
m sky box orientation,PRE NM NM N,ATTRIBUTE
m sky plane render queue,PRE NM NM NM N,ATTRIBUTE
m text types,PRE NM NPL,ATTRIBUTE
m transform change args,PRE NM NM NPL,ATTRIBUTE
m vs out light position,PRE NM NM NM N,ATTRIBUTE
m weaver,PRE N,ATTRIBUTE
m window width,PRE NM N,ATTRIBUTE
m worker,PRE N,ATTRIBUTE
m zoom controller,PRE NM N,ATTRIBUTE
manifest file prefix,NM NM N,ATTRIBUTE
matcher builder,NM N,ATTRIBUTE
max buffer size,NM NM N,ATTRIBUTE
max file open,NM N NM,ATTRIBUTE
max width,NM N,ATTRIBUTE
max work group size,NM NM NM N,ATTRIBUTE
min font size,NM NM N,ATTRIBUTE
mock ref,NM N,ATTRIBUTE
module finder,NM N,ATTRIBUTE
more,DT,ATTRIBUTE
move rbt surgeon,NM NM N,ATTRIBUTE
mtx,N,ATTRIBUTE
multiple occurences,NM NPL,ATTRIBUTE
n d,NM N,ATTRIBUTE
name container,NM N,ATTRIBUTE
nav visible,N NM,ATTRIBUTE
new strokes,NM NPL,ATTRIBUTE
new y,NM N,ATTRIBUTE
next giphy search offset,NM NM NM N,ATTRIBUTE
nonce length,NM N,ATTRIBUTE
num active tris,NM NM NPL,ATTRIBUTE
num axis events,NM NM NPL,ATTRIBUTE
num body parts,NM NM NPL,ATTRIBUTE
num cols,NM NPL,ATTRIBUTE
num groups,NM NPL,ATTRIBUTE
num light,NM N,ATTRIBUTE
num outs,NM NPL,ATTRIBUTE
num tess face data,NM NM NM N,ATTRIBUTE
number elementary vegas,NM NM NPL,ATTRIBUTE
number start,NM N,ATTRIBUTE
odf symbol type,NM NM N,ATTRIBUTE
on item long click listener,P NM NM NM N,ATTRIBUTE
ongoing call notification,NM NM N,ATTRIBUTE
op code continuation,NM NM N,ATTRIBUTE
original mocking details,NM NM NPL,ATTRIBUTE
other data len bits,NM NM NM NPL,ATTRIBUTE
other side x,NM NM N,ATTRIBUTE
packet sent,NM N,ATTRIBUTE
parent,N,ATTRIBUTE
parser errors,NM NPL,ATTRIBUTE
pickup,N,ATTRIBUTE
pixel width,NM N,ATTRIBUTE
pref font,NM N,ATTRIBUTE
prev property,NM N,ATTRIBUTE
previous caption,NM N,ATTRIBUTE
print features up to,V NPL VM P,ATTRIBUTE
proof profile,NM N,ATTRIBUTE
q tail,NM N,ATTRIBUTE
raw arguments,NM NPL,ATTRIBUTE
rc identity,NM N,ATTRIBUTE
reduction indices,NM NPL,ATTRIBUTE
ref point offset percent,NM NM NM N,ATTRIBUTE
reference index meta datas,NM NM NM NPL,ATTRIBUTE
refresh interval in millis,NM N P NPL,ATTRIBUTE
replace text context,NM NM N,ATTRIBUTE
replacement length,NM N,ATTRIBUTE
resamplers,NPL,ATTRIBUTE
returned value,NM N,ATTRIBUTE
returns self,V N,ATTRIBUTE
risky annuity,NM N,ATTRIBUTE
rotate desc,NM N,ATTRIBUTE
row limit,NM N,ATTRIBUTE
rule options,NM NPL,ATTRIBUTE
run dist cmd prop,NM NM NM N,ATTRIBUTE
runner override,NM N,ATTRIBUTE
runtime mx bean,NM NM N,ATTRIBUTE
samplers,NPL,ATTRIBUTE
script event action factories,NM NM NM NPL,ATTRIBUTE
selected account,NM N,ATTRIBUTE
selection width label,NM NM N,ATTRIBUTE
session factory,NM N,ATTRIBUTE
session ticket key,NM NM N,ATTRIBUTE
shift values,NM NPL,ATTRIBUTE
show tags,V NPL,ATTRIBUTE
skip vetoes,NM NPL,ATTRIBUTE
sort field data type,NM NM NM N,ATTRIBUTE
spline max len,NM NM N,ATTRIBUTE
sprites,NPL,ATTRIBUTE
st lib,NM N,ATTRIBUTE
stack,N,ATTRIBUTE
state to grammar region map,N P NM NM N,ATTRIBUTE
statement,N,ATTRIBUTE
step no,NM N,ATTRIBUTE
struct ty,NM N,ATTRIBUTE
stubbing lookup listeners,NM NM NPL,ATTRIBUTE
sub module name visibility pairs,NM NM NM NM NPL,ATTRIBUTE
tcp slave agent listener lock,NM NM NM NM N,ATTRIBUTE
then,N,ATTRIBUTE
time spec,NM N,ATTRIBUTE
tlv symbols,NM NPL,ATTRIBUTE
tot channel,NM N,ATTRIBUTE
tot elem,NM N,ATTRIBUTE
total merge throttled time,NM NM NM N,ATTRIBUTE
trade price,NM N,ATTRIBUTE
type test rule,NM NM N,ATTRIBUTE
type window update,N NM NM,ATTRIBUTE
unknown username,NM N,ATTRIBUTE
unregistered request matcher,NM NM N,ATTRIBUTE
unrestricted,NM,ATTRIBUTE
use atm spread,V NM N,ATTRIBUTE
user hook 3,NM N D,ATTRIBUTE
uuid,N,ATTRIBUTE
val 32,N D,ATTRIBUTE
validator strategies,NM NPL,ATTRIBUTE
value hash,NM N,ATTRIBUTE
variables,NPL,ATTRIBUTE
verification strategy,NM N,ATTRIBUTE
video chunk cb,NM NM N,ATTRIBUTE
w width,NM N,ATTRIBUTE
weak ref lost,NM NM N,ATTRIBUTE
weights multipliers,NM NPL,ATTRIBUTE
whole regexp,NM N,ATTRIBUTE
x dnd type list,NM NM NM N,ATTRIBUTE
x origin,NM N,ATTRIBUTE
x scale,NM N,ATTRIBUTE
ya bottom,NM N,ATTRIBUTE
z weight,NM N,ATTRIBUTE
zero plane res,NM NM N,ATTRIBUTE
abc opt,NM N,CLASS
abstract build execution,NM NM N,CLASS
accessor conformance info,NM NM N,CLASS
action translator,NM N,CLASS
address lowering,N V,CLASS
alt and context config equality comparator,N CJ NM NM NM N,CLASS
android byte buddy mock maker,NM NM NM NM N,CLASS
apply rewriter,NM N,CLASS
arabic segmenter,NM N,CLASS
area info dialog t,NM NM NM N,CLASS
ares dns resolver,NM NM N,CLASS
array count propagation,NM NM N,CLASS
attribute,N,CLASS
background parser private,NM N NM,CLASS
base loader callback,NM NM N,CLASS
basic replication request,NM NM N,CLASS
basket payoff,NM N,CLASS
binary rule,NM N,CLASS
bt collision shape,PRE NM N,CLASS
bt deformable contact constraint,PRE NM NM N,CLASS
bt material,PRE N,CLASS
bucket collector,NM N,CLASS
build wrapper,NM N,CLASS
c animated mesh scene node,PRE NM NM NM N,CLASS
c archive loader tar,PRE NM N NM,CLASS
c at background color,PRE NM NM N,CLASS
c at font,PRE NM N,CLASS
c at grayscale,PRE NM N,CLASS
c burning shader raster reference,PRE NM NM NM N,CLASS
c d3d9 render target,PRE NM NM N,CLASS
c file read callback,PRE NM NM N,CLASS
c http2 connector,PRE NM N,CLASS
c image,PRE N,CLASS
c image writer jpg,PRE NM N NM,CLASS
c skinned mesh,PRE NM N,CLASS
cache strategy,NM N,CLASS
cached region tracker,NM NM N,CLASS
call error extensions,NM NM NPL,CLASS
camera data,NM N,CLASS
caplet variance curve,NM NM N,CLASS
category filter factory,NM NM N,CLASS
cbor x content,NM NM N,CLASS
change scroll,V N,CLASS
chapter toc frame,NM NM N,CLASS
child location,NM N,CLASS
chinese treebank parser params,NM NM NM NPL,CLASS
cipher suite,NM N,CLASS
class loaders,NM NPL,CLASS
clause matrix,NM N,CLASS
clock,N,CLASS
cluster update settings response,NM NM NM N,CLASS
cmd output operation type,NM NM NM N,CLASS
code generator private,NM N NM,CLASS
color map,NM N,CLASS
combine paint mask to canvas buffer to paint buf alpha,NM NM N P NM N P NM NM N,CLASS
command t,NM N,CLASS
comp mask,NM N,CLASS
compiler item,NM N,CLASS
configure timeouts,NM NPL,CLASS
const parameter float,NM NM N,CLASS
container tab bar,NM NM N,CLASS
content path,NM N,CLASS
context token list indexed getter decl,NM NM NM NM NM N,CLASS
contextualize closures,V NPL,CLASS
controlled object,NM N,CLASS
controller value,NM N,CLASS
cpp generator services,NM NM NPL,CLASS
cq event queue,NM NM N,CLASS
crf non linear log conditional objective function,NM NM NM NM NM NM N,CLASS
d bus proxy,NM NM N,CLASS
d obj points,NM NM NPL,CLASS
d3d11 unsupported gpu program,NM NM NM N,CLASS
data access repository private,NM NM N NM,CLASS
declaration context private,NM N NM,CLASS
declaration item,NM N,CLASS
default injection engine,NM NM N,CLASS
default mocking details,NM NM NPL,CLASS
default ssl roots override,NM NM NPL NM,CLASS
define,N,CLASS
deserialization context,NM N,CLASS
device handler,NM N,CLASS
dialog elements,NM NPL,CLASS
disk lru cache,NM NM N,CLASS
dispatch mask buffer iterator,NM NM NM N,CLASS
dispatch paint mask,NM NM N,CLASS
dot generator,NM N,CLASS
dual con input reader,NM NM NM N,CLASS
dvb subtitle reader,NM NM N,CLASS
dynamic textured cube demo,NM NM NM N,CLASS
env vars slave info display name,NM NM NM NM NM N,CLASS
executor,N,CLASS
expected exception,NM N,CLASS
explicit euler scheme,NM NM N,CLASS
expression finder,NM N,CLASS
fd black scholes vanilla engine,NM NM NM NM N,CLASS
file item delegate,NM NM N,CLASS
file operator,NM N,CLASS
file path filter,NM NM N,CLASS
file system archive,NM NM N,CLASS
fixed object,NM N,CLASS
formatted text,NM N,CLASS
frame 2,N D,CLASS
generic emissive closure,NM NM N,CLASS
generic type extractor,NM NM N,CLASS
geometry interface,NM N,CLASS
get home directory,V NM N,CLASS
get total disk space,V NM NM N,CLASS
gl config attribs,PRE NM NPL,CLASS
globals as members table reader info,NPL P NPL NM NM N,CLASS
glx configurator,NM N,CLASS
group by context,N P N,CLASS
h pack,NM N,CLASS
handshake mode,NM N,CLASS
hdr listener,NM N,CLASS
heat vision listener,NM NM N,CLASS
http1 exchange codec,NM NM N,CLASS
i read file,NM NM N,CLASS
icy decoder,NM N,CLASS
image manager,NM N,CLASS
install uncaught exception handler,V NM NM N,CLASS
internal,NM,CLASS
internal ffmpeg register,NM NM N,CLASS
inverse dynamics example,NM NM N,CLASS
jflex dummy lexer,PRE NM N,CLASS
jnt array acc,NM NM N,CLASS
key status,NM N,CLASS
ko main window private,PRE NM N NM,CLASS
ko path point remove command private,PRE NM NM NM N NM,CLASS
ko rgb u8 invert color transformation,PRE NM NM NM NM N,CLASS
ko section end private,PRE NM N NM,CLASS
ko shadow style private,PRE NM N NM,CLASS
label action,NM N,CLASS
label drawing widget,NM NM N,CLASS
layer parameter,NM N,CLASS
layout data,NM N,CLASS
lease,N,CLASS
left recursive rule function,NM NM NM N,CLASS
less dummy gui helper,NM NM NM N,CLASS
light attenuation value,NM NM N,CLASS
list level,NM N,CLASS
local ref,NM N,CLASS
log mixed linear cubic interpolation,NM NM NM NM N,CLASS
lsm basis system,NM NM N,CLASS
lvl currency,NM N,CLASS
main class,NM N,CLASS
maps,NPL,CLASS
mask components,NM NPL,CLASS
max core,NM N,CLASS
media chunk iterator,NM NM N,CLASS
mention detection evaluator,NM NM N,CLASS
minimum supported version,NM NM N,CLASS
mock creation validator,NM NM N,CLASS
mockito assertion error,PRE NM N,CLASS
module handler,NM N,CLASS
mono p invoke callback attribute,NM NM NM NM N,CLASS
mp4 extractor,NM N,CLASS
mp4 input,NM N,CLASS
mpeg audio reader,NM NM N,CLASS
multicubic spline,NM N,CLASS
multiple failure exception,NM NM N,CLASS
multipolygon,N,CLASS
net state rule default type internal,NM NM NM NM N NM,CLASS
new aggregate builder map,NM NM NM N,CLASS
node shape,NM N,CLASS
null program,NM N,CLASS
num,N,CLASS
oauth session,NM N,CLASS
oauth session factory,NM NM N,CLASS
of android life cycle helper,PRE NM NM NM N,CLASS
of android object,PRE NM N,CLASS
of android sound player,PRE NM NM N,CLASS
of android window,PRE NM N,CLASS
of orientation listener,PRE NM N,CLASS
op pool,NM N,CLASS
output delegate private,NM N NM,CLASS
parallel computer,NM N,CLASS
parameter signature,NM N,CLASS
parse job private,NM N NM,CLASS
part document private,NM N NM,CLASS
patch coord buffer,NM NM N,CLASS
patterns annotations,NM NPL,CLASS
physics client example,NM NM N,CLASS
piecewise constant abcd variance,NM NM NM N,CLASS
point 3,N D,CLASS
pointer map,NM N,CLASS
post file,NM N,CLASS
post script document,NM NM N,CLASS
predicate wrapper,NM N,CLASS
print events,NM NPL,CLASS
problem reporter factory,NM NM N,CLASS
process,N,CLASS
project controller private,NM N NM,CLASS
publish response,NM N,CLASS
qr detect,NM N,CLASS
quad,N,CLASS
quote,N,CLASS
read bitstream,V N,CLASS
reconstruct update callback,NM NM N,CLASS
record header,NM N,CLASS
refutable pattern initialization,NM NM N,CLASS
remoting diagnostics,NM NPL,CLASS
resolved failed exception,NM NM N,CLASS
response handlers,NM NPL,CLASS
rest client,NM N,CLASS
returns empty values,V NM NPL,CLASS
risky bond,NM N,CLASS
rolling friction demo,NM NM N,CLASS
rs compute operation,NM NM N,CLASS
rs stencil operation,NM NM N,CLASS
rule member validator,NM NM N,CLASS
rule property ref ctx,NM NM NM N,CLASS
rule property ref start,NM NM NM N,CLASS
rule version attribute,NM NM N,CLASS
run after params,V NM NPL,CLASS
run before params,V NM NPL,CLASS
runner scheduler,NM N,CLASS
scroll id for node,NM N P N,CLASS
segmenter core annotations,NM NM NPL,CLASS
sei reader,NM N,CLASS
serialized form,NM N,CLASS
server safe handle,NM NM N,CLASS
setting manager,NM N,CLASS
shift reduce train options,NM NM NM NPL,CLASS
simple pressure,NM N,CLASS
single period timeline,NM NM N,CLASS
sinh,N,CLASS
sk editor consumer,NM NM N,CLASS
slack client,NM N,CLASS
stochastic process,NM N,CLASS
store,N,CLASS
strictness selector,NM N,CLASS
stubbing comparator,NM N,CLASS
su time,NM N,CLASS
suite method,NM N,CLASS
suite method builder,NM NM N,CLASS
task impl,NM N,CLASS
temp comp mask,NM NM N,CLASS
temperature cauchy 1 d,NM N D NM,CLASS
template preview icon data,NM NM NM NPL,CLASS
temporary folder,NM N,CLASS
text paint view,NM NM N,CLASS
tile parameter default type internal,NM NM NM N NM,CLASS
time signal command,NM NM N,CLASS
timelapser,N,CLASS
to string walker,P N N,CLASS
token property ref,NM NM N,CLASS
token property ref channel,NM NM NM N,CLASS
token type decl,NM NM N,CLASS
top ngram record,NM NM N,CLASS
transport shard refresh action,NM NM NM N,CLASS
tree element,NM N,CLASS
tree post script generator,NM NM NM N,CLASS
tsurgeon parse exception,NM NM N,CLASS
tuple lvalue emitter,NM NM N,CLASS
user 2 internal index,N P NM N,CLASS
value,N,CLASS
value label,NM N,CLASS
vanilla forward payoff,NM NM N,CLASS
verification mode factory,NM NM N,CLASS
vertex position,NM N,CLASS
video capture dshow,NM NM N,CLASS
voronoi fracture demo,NM NM N,CLASS
warning failure exception,NM NM N,CLASS
web socket listener,NM NM N,CLASS
workspace file mask,NM NM N,CLASS
write context,NM N,CLASS
wsdls solver,NM N,CLASS
active tool id,NM NM N,DECLARATION
actual suffix,NM N,DECLARATION
adding,V,DECLARATION
aead crypter seal,NM NM N,DECLARATION
all action roots,DT NM NPL,DECLARATION
all invocation matchers,DT NM NPL,DECLARATION
all open indices,DT NM NPL,DECLARATION
always preview,VM V,DECLARATION
anchor name,NM N,DECLARATION
angle in radian,N P N,DECLARATION
animation box,NM N,DECLARATION
atn state,NM N,DECLARATION
attrs,NPL,DECLARATION
avg 1,N D,DECLARATION
avg map,NM N,DECLARATION
base category,NM N,DECLARATION
base transform,NM N,DECLARATION
best b,NM N,DECLARATION
best node,NM N,DECLARATION
best style,NM N,DECLARATION
bind matrix,NM N,DECLARATION
binormal type,NM N,DECLARATION
byte count,NM N,DECLARATION
byte src,NM N,DECLARATION
cache body unbuffered,NM N NM,DECLARATION
cache entity,NM N,DECLARATION
cam rot z,NM NM N,DECLARATION
cap times,NM NPL,DECLARATION
cb result,NM N,DECLARATION
cell cursor,NM N,DECLARATION
ch,N,DECLARATION
check next,V N,DECLARATION
child categories,NM NPL,DECLARATION
clang can ty,PRE NM N,DECLARATION
client certificates,NM NPL,DECLARATION
clip dist bug,NM NM N,DECLARATION
cmd lines,NM NPL,DECLARATION
cms pricer,NM N,DECLARATION
code exception message,NM NM N,DECLARATION
col length left,NM NM N,DECLARATION
compare fields by name,V NPL P N,DECLARATION
compiling contexts,V NPL,DECLARATION
cone translation,NM N,DECLARATION
control points,NM NPL,DECLARATION
copy item,NM N,DECLARATION
corr qc,NM N,DECLARATION
coterminal model,NM N,DECLARATION
cp 1254,N D,DECLARATION
curr thread exception,NM NM N,DECLARATION
current charuco corners,NM NM NPL,DECLARATION
current open shards,NM NM NPL,DECLARATION
current sequence,NM N,DECLARATION
d inf,NM N,DECLARATION
default blocked item comparator,NM NM NM N,DECLARATION
default look,NM N,DECLARATION
dependencies st,NM N,DECLARATION
depot message start,NM NM N,DECLARATION
drift term,NM N,DECLARATION
dst saturation,NM N,DECLARATION
dst type 1,NM N D,DECLARATION
element spec,NM N,DECLARATION
end of input,N P N,DECLARATION
enum count,NM N,DECLARATION
equals builder,NM N,DECLARATION
equals offset,NM N,DECLARATION
error mark type,NM NM N,DECLARATION
event 0,N D,DECLARATION
executors,NPL,DECLARATION
expect rows,NM NPL,DECLARATION
expected string,NM N,DECLARATION
extra inhabitants mask,NM NM N,DECLARATION
extra interfaces,NM NPL,DECLARATION
f cos,NM N,DECLARATION
f curve found,NM N V,DECLARATION
f m m,NM NM N,DECLARATION
f ptr out,PRE NM N,DECLARATION
face index,NM N,DECLARATION
factory class,NM N,DECLARATION
fast load success,VM V N,DECLARATION
feature iterator,NM N,DECLARATION
field offset vector,NM NM N,DECLARATION
filter spec,NM N,DECLARATION
finished normally,V VM,DECLARATION
first space,NM N,DECLARATION
fixed cam,NM N,DECLARATION
fixed leg frequency,NM NM N,DECLARATION
followup,N,DECLARATION
forked iter,V N,DECLARATION
format ok,N NM,DECLARATION
free positions,NM NPL,DECLARATION
from local aabb min,P NM NM N,DECLARATION
future active doc,NM NM N,DECLARATION
generate rule bypass transitions,V NM NM NPL,DECLARATION
generated token on creation,NM N P N,DECLARATION
have mask,V N,DECLARATION
id mention,N NM,DECLARATION
identifier quark,NM N,DECLARATION
idp configuration,NM N,DECLARATION
idx u,NM N,DECLARATION
img stub,NM N,DECLARATION
img type,NM N,DECLARATION
implicit group key,NM NM N,DECLARATION
in cache,P N,DECLARATION
indexes of suspicious args,NPL P NM NPL,DECLARATION
inertial frame,NM N,DECLARATION
inst results,NM NPL,DECLARATION
interface bounds,NM NPL,DECLARATION
inv flight k 2,NM NM N D,DECLARATION
inv unit scale,NM NM N,DECLARATION
inverted direction,NM N,DECLARATION
is a empty,V DT N,DECLARATION
is node a left child leaf,V N DT NM NM N,DECLARATION
is trained,V V,DECLARATION
items per second,NPL P N,DECLARATION
jar url connection,NM NM N,DECLARATION
joint start,NM N,DECLARATION
key begin,NM N,DECLARATION
key events copy,NM NM N,DECLARATION
kinects copy,NM N,DECLARATION
label casefold,NM N,DECLARATION
last token was delete or default,NM N V N CJ N,DECLARATION
layer sizes,NM NPL,DECLARATION
left sisters buffer,NM NM N,DECLARATION
lhs component,NM N,DECLARATION
line 1 grad,NM D N,DECLARATION
line y,NM N,DECLARATION
link url,NM N,DECLARATION
loaded mentions count,NM NM N,DECLARATION
logger name parts,NM NM NPL,DECLARATION
lower tail,NM N,DECLARATION
mapped labels,NM NPL,DECLARATION
max age seconds long,NM NM NPL NM,DECLARATION
max basket,NM N,DECLARATION
max input size,NM NM N,DECLARATION
melanin ofs,NM N,DECLARATION
merged type,NM N,DECLARATION
method handles,NM NPL,DECLARATION
method index,NM N,DECLARATION
minimized random fa,NM NM N,DECLARATION
missing classes,NM NPL,DECLARATION
mock method,NM N,DECLARATION
mod iface,NM N,DECLARATION
movie media handler,NM NM N,DECLARATION
mx bean,NM N,DECLARATION
n repeats,NM NPL,DECLARATION
nbr gaps,NM NPL,DECLARATION
nd formula,NM N,DECLARATION
nearest point,NM N,DECLARATION
need fallback,V N,DECLARATION
neighbor pos,NM N,DECLARATION
network security policy,NM NM N,DECLARATION
new image height,NM NM N,DECLARATION
new order,NM N,DECLARATION
new rule text,NM NM N,DECLARATION
new sil type,NM NM N,DECLARATION
new warning header size,NM NM NM N,DECLARATION
next fragment expression,NM NM N,DECLARATION
next search,NM N,DECLARATION
noise 1,N D,DECLARATION
non greedy states builder,NM NM NM N,DECLARATION
num metadata,NM N,DECLARATION
num primes,NM NPL,DECLARATION
num states,NM NPL,DECLARATION
num vec per segment,NM N P N,DECLARATION
num verts in a,NM NPL P N,DECLARATION
number of joysticks,N P NPL,DECLARATION
